first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
kirk,hinrich,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kwame,brown,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kobe,bryant,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kosta,koufos,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kurt,thomas,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
keyon,dooling,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kyle,lowry,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kyle,weaver,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kyrylo,fesenko,utah,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
lamarcus,aldridge,portland,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
lamar,odom,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
lance,stephenson,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
larry,sanders,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kyle,korver,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kevin,martin,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
josh,smith,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kevin,garnett,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jon,brockman,milwaukee,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
lazar,hayward,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jonny,flynn,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jordan,hill,houston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jose,calderon,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
josh,childress,phoenix,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kevin,love,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
josh,powell,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
jrue,holiday,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
julian,wright,toronto,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
juwan,howard,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
keith,bogans,chicago,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kendrick,perkins,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kenyon,martin,denver,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
kevin,durant,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
josh,mcroberts,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
lebron,james,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
leon,powe,memphis,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
mario,chalmers,miami,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
marquis,daniels,boston,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
marreese,speights,philadelphia,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
martell,webster,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
marvin,williams,atlanta,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
matt,barnes,los angeles,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
matt,carroll,charlotte,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
maurice,ager,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,nba_players
