first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
ivey,kay,alabama,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
dunleavy,mike,alaska,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
ducey,douglas,arizona,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hutchinson,asa,arkansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
newsom,gavin,california,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
polis,jared,colorado,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lamont,edward,connecticut,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
carney,john,delaware,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
desantis,ronald,florida,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kemp,brian,georgia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
ige,david,hawaii,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
little,brad,idaho,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
pritzker,j.b.,illinois,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
holcomb,eric,indiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
reynolds,kimberly,iowa,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
kelly,laura,kansas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bevin,matthew,kentucky,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
edwards,john,louisiana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
mills,janet,maine,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
hogan,lawrence,maryland,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
baker,charles,massachusetts,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
whitmer,gretchen,michigan,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
walz,tim,minnesota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bryant,dewey,mississippi,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
parson,michael,missouri,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
bullock,stephen,montana,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
ricketts,john,nebraska,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
sisolak,steve,nevada,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
sununu,christopher,new hampshire,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
murphy,philip,new jersey,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lujan grisham,michelle,new mexico,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cuomo,andrew,new york,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
cooper,roy,north carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
burgum,douglas,north dakota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
dewine,michael,ohio,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
stitt,kevin,oklahoma,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
brown,katherine,oregon,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
wolf,thomas,pennsylvania,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
raimondo,gina,rhode island,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
mcmaster,henry,south carolina,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
noem,kristi,south dakota,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
lee,bill,tennessee,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
abbott,gregory,texas,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
herbert,gary,utah,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
scott,philip,vermont,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
northam,ralph,virginia,nan,united states,america,en,nan,nan,nan,nan,nan,politicians
