,state,country,continent
0,alabama,united states,america
1,alaska,united states,america
2,arizona,united states,america
3,arkansas,united states,america
4,california,united states,america
5,colorado,united states,america
6,connecticut,united states,america
7,delaware,united states,america
8,florida,united states,america
9,georgia,united states,america
10,hawaii,united states,america
11,idaho,united states,america
12,illinois,united states,america
13,indiana,united states,america
14,iowa,united states,america
15,kansas,united states,america
16,kentucky,united states,america
17,louisiana,united states,america
18,maine,united states,america
19,maryland,united states,america
20,massachusetts,united states,america
21,michigan,united states,america
22,minnesota,united states,america
23,mississippi,united states,america
24,missouri,united states,america
25,montana,united states,america
26,nebraska,united states,america
27,nevada,united states,america
28,new hampshire,united states,america
29,new jersey,united states,america
30,new mexico,united states,america
31,new york,united states,america
32,north carolina,united states,america
33,north dakota,united states,america
34,ohio,united states,america
35,oklahoma,united states,america
36,oregon,united states,america
37,pennsylvania,united states,america
38,rhode island,united states,america
39,south carolina,united states,america
40,south dakota,united states,america
41,tennessee,united states,america
42,texas,united states,america
43,utah,united states,america
44,vermont,united states,america
45,virginia,united states,america
46,washington,united states,america
47,west virginia,united states,america
48,wisconsin,united states,america
49,wyoming,united states,america
50,district of columbia,united states,america
51,atlanta,united states,america
52,charlotte,united states,america
53,los angeles,united states,america
54,denver,united states,america
55,chicago,united states,america
56,milwaukee,united states,america
57,houston,united states,america
58,portland,united states,america
59,boston,united states,america
60,toronto,united states,america
61,phoenix,united states,america
62,philadelphia,united states,america
63,miami,united states,america
64,memphis,united states,america
65,sacramento,united states,america
66,cleveland,united states,america
67,orlando,united states,america
68,detroit,united states,america
69,dallas,united states,america
70, brooklyn,united states,america
71,NULL,united states,america
72,manitoba,united states,america
73,b.c.,united states,america
74,ontario,united states,america
75,quebec,united states,america
76,saskatchewan,united states,america
77,ukraine,united states,america
78,alberta,united states,america
79,victoria,united states,america
80,estonia,united states,america
