,first_name,middle_name,last_name,language_id,geographic_zone_id,category_id
0,ivey,NULL,kay,0,0,0
1,aderholt,NULL,robert,0,0,0
2,brooks,NULL,mo,0,0,0
3,byrne,NULL,bradley,0,0,0
4,jones,NULL,doug,0,0,0
5,palmer,NULL,gary,0,0,0
6,roby,NULL,martha,0,0,0
7,rogers,NULL,mike,0,0,0
8,sewell,NULL,terri,0,0,0
9,shelby,NULL,richard,0,0,0
10,dunleavy,NULL,mike,0,1,0
11,murkowski,NULL,lisa,0,1,0
12,sullivan,NULL,dan,0,1,0
13,young,NULL,don,0,1,0
14,ducey,NULL,douglas,0,2,0
15,biggs,NULL,andy,0,2,0
16,gallego,NULL,ruben,0,2,0
17,gosar,NULL,paul,0,2,0
18,grijalva,NULL,raúl,0,2,0
19,kirkpatrick,NULL,ann,0,2,0
20,lesko,NULL,debbie,0,2,0
21,mcsally,NULL,martha,0,2,0
22,o’halleran,NULL,tom,0,2,0
23,schweikert,NULL,david,0,2,0
24,sinema,NULL,kyrsten,0,2,0
25,stanton,NULL,greg,0,2,0
26,hutchinson,NULL,asa,0,3,0
27,boozman,NULL,john,0,3,0
28,cotton,NULL,tom,0,3,0
29,crawford,NULL,eric“rick”,0,3,0
30,hill,NULL,french,0,3,0
31,westerman,NULL,bruce,0,3,0
32,womack,NULL,steve,0,3,0
33,newsom,NULL,gavin,0,4,0
34,aguilar,NULL,pete,0,4,0
35,barragán,NULL,nanette,0,4,0
36,bass,NULL,karen,0,4,0
37,bera,NULL,ami,0,4,0
38,brownley,NULL,julia,0,4,0
39,calvert,NULL,ken,0,4,0
40,carbajal,NULL,salud,0,4,0
41,chu,NULL,judy,0,4,0
42,cisneros,NULL,gilbert,0,4,0
43,cook,NULL,paul,0,4,0
44,correa,NULL,luis,0,4,0
45,costa,NULL,jim,0,4,0
46,cox,NULL,tj,0,4,0
47,cárdenas,NULL,tony,0,4,0
48,davis,NULL,susan,0,4,0
49,desaulnier,NULL,mark,0,4,0
50,eshoo,NULL,anna,0,4,0
51,feinstein,NULL,dianne,0,4,0
52,garamendi,NULL,john,0,4,0
53,garcia,NULL,mike,0,4,0
54,gomez,NULL,jimmy,0,4,0
55,harder,NULL,josh,0,4,0
56,harris,NULL,kamala,0,4,0
57,huffman,NULL,jared,0,4,0
58,khanna,NULL,ro,0,4,0
59,lamalfa,NULL,doug,0,4,0
60,lee,NULL,barbara,0,4,0
61,levin,NULL,mike,0,4,0
62,lieu,NULL,ted,0,4,0
63,lofgren,NULL,zoe,0,4,0
64,lowenthal,NULL,alan,0,4,0
65,matsui,NULL,doris,0,4,0
66,mccarthy,NULL,kevin,0,4,0
67,mcclintock,NULL,tom,0,4,0
68,mcnerney,NULL,jerry,0,4,0
69,napolitano,NULL,grace,0,4,0
70,nunes,NULL,devin,0,4,0
71,panetta,NULL,jimmy,0,4,0
72,pelosi,NULL,nancy,0,4,0
73,peters,NULL,scott,0,4,0
74,porter,NULL,katie,0,4,0
75,rouda,NULL,harley,0,4,0
76,roybal-allard,NULL,lucille,0,4,0
77,ruiz,NULL,raul,0,4,0
78,schiff,NULL,adam,0,4,0
79,sherman,NULL,brad,0,4,0
80,speier,NULL,jackie,0,4,0
81,swalwell,NULL,eric,0,4,0
82,sánchez,NULL,linda,0,4,0
83,takano,NULL,mark,0,4,0
84,thompson,NULL,mike,0,4,0
85,torres,NULL,norma,0,4,0
86,vargas,NULL,juan,0,4,0
87,waters,NULL,maxine,0,4,0
88,polis,NULL,jared,0,5,0
89,bennet,NULL,michael,0,5,0
90,buck,NULL,ken,0,5,0
91,crow,NULL,jason,0,5,0
92,degette,NULL,diana,0,5,0
93,gardner,NULL,cory,0,5,0
94,lamborn,NULL,doug,0,5,0
95,neguse,NULL,joe,0,5,0
96,perlmutter,NULL,ed,0,5,0
97,tipton,NULL,scott,0,5,0
98,lamont,NULL,edward,0,6,0
99,blumenthal,NULL,richard,0,6,0
100,courtney,NULL,joe,0,6,0
101,delauro,NULL,rosa,0,6,0
102,hayes,NULL,jahana,0,6,0
103,himes,NULL,james,0,6,0
104,larson,NULL,john,0,6,0
105,murphy,NULL,christopher,0,6,0
106,carney,NULL,john,0,7,0
107,bluntrochester,NULL,lisa,0,7,0
108,carper,NULL,thomas,0,7,0
109,coons,NULL,chris,0,7,0
110,desantis,NULL,ronald,0,8,0
111,bilirakis,NULL,gus,0,8,0
112,buchanan,NULL,vern,0,8,0
113,castor,NULL,kathy,0,8,0
114,crist,NULL,charlie,0,8,0
115,demings,NULL,val,0,8,0
116,deutch,NULL,theodore“ted”,0,8,0
117,diaz-balart,NULL,mario,0,8,0
118,dunn,NULL,neal,0,8,0
119,frankel,NULL,lois,0,8,0
120,gaetz,NULL,matt,0,8,0
121,hastings,NULL,alcee,0,8,0
122,lawson,NULL,al,0,8,0
123,mast,NULL,brian,0,8,0
124,mucarsel-powell,NULL,debbie,0,8,0
125,murphy,NULL,stephanie,0,8,0
126,posey,NULL,bill,0,8,0
127,rooney,NULL,francis,0,8,0
128,rubio,NULL,marco,0,8,0
129,rutherford,NULL,john,0,8,0
130,scott,NULL,rick,0,8,0
131,shalala,NULL,donna,0,8,0
132,soto,NULL,darren,0,8,0
133,spano,NULL,ross,0,8,0
134,steube,NULL,gregory,0,8,0
135,waltz,NULL,michael,0,8,0
136,wassermanschultz,NULL,debbie,0,8,0
137,webster,NULL,daniel,0,8,0
138,wilson,NULL,frederica,0,8,0
139,yoho,NULL,ted,0,8,0
140,kemp,NULL,brian,0,9,0
141,allen,NULL,rick,0,9,0
142,bishop,NULL,sanford,0,9,0
143,carter,NULL,buddy,0,9,0
144,collins,NULL,doug,0,9,0
145,ferguson,NULL,drew,0,9,0
146,graves,NULL,tom,0,9,0
147,hice,NULL,jody,0,9,0
148,johnson,NULL,henry“hank”,0,9,0
149,loeffler,NULL,kelly,0,9,0
150,loudermilk,NULL,barry,0,9,0
151,mcbath,NULL,lucy,0,9,0
152,perdue,NULL,david,0,9,0
153,scott,NULL,austin,0,9,0
154,scott,NULL,david,0,9,0
155,woodall,NULL,rob,0,9,0
156,ige,NULL,david,0,10,0
157,case,NULL,ed,0,10,0
158,gabbard,NULL,tulsi,0,10,0
159,hirono,NULL,mazie,0,10,0
160,schatz,NULL,brian,0,10,0
161,little,NULL,brad,0,11,0
162,crapo,NULL,michael,0,11,0
163,fulcher,NULL,russ,0,11,0
164,risch,NULL,james,0,11,0
165,simpson,NULL,michael“mike”,0,11,0
166,pritzker,NULL,j.b.,0,12,0
167,bost,NULL,mike,0,12,0
