first_name,last_name,state,middle_name,country,continent,lang_primar,lang_secondary,lang_tertiary,lang_quaternary,search_engine,link,category
ivey,kay,alabama,,united states,america,en,,,,,,politicians
dunleavy,mike,alaska,,united states,america,en,,,,,,politicians
ducey,douglas,arizona,,united states,america,en,,,,,,politicians
hutchinson,asa,arkansas,,united states,america,en,,,,,,politicians
newsom,gavin,california,,united states,america,en,,,,,,politicians
polis,jared,colorado,,united states,america,en,,,,,,politicians
lamont,edward,connecticut,,united states,america,en,,,,,,politicians
carney,john,delaware,,united states,america,en,,,,,,politicians
desantis,ronald,florida,,united states,america,en,,,,,,politicians
kemp,brian,georgia,,united states,america,en,,,,,,politicians
ige,david,hawaii,,united states,america,en,,,,,,politicians
little,brad,idaho,,united states,america,en,,,,,,politicians
pritzker,j.b.,illinois,,united states,america,en,,,,,,politicians
holcomb,eric,indiana,,united states,america,en,,,,,,politicians
reynolds,kimberly,iowa,,united states,america,en,,,,,,politicians
kelly,laura,kansas,,united states,america,en,,,,,,politicians
bevin,matthew,kentucky,,united states,america,en,,,,,,politicians
edwards,john,louisiana,,united states,america,en,,,,,,politicians
mills,janet,maine,,united states,america,en,,,,,,politicians
hogan,lawrence,maryland,,united states,america,en,,,,,,politicians
baker,charles,massachusetts,,united states,america,en,,,,,,politicians
whitmer,gretchen,michigan,,united states,america,en,,,,,,politicians
walz,tim,minnesota,,united states,america,en,,,,,,politicians
bryant,dewey,mississippi,,united states,america,en,,,,,,politicians
parson,michael,missouri,,united states,america,en,,,,,,politicians
bullock,stephen,montana,,united states,america,en,,,,,,politicians
ricketts,john,nebraska,,united states,america,en,,,,,,politicians
sisolak,steve,nevada,,united states,america,en,,,,,,politicians
sununu,christopher,new hampshire,,united states,america,en,,,,,,politicians
murphy,philip,new jersey,,united states,america,en,,,,,,politicians
lujan grisham,michelle,new mexico,,united states,america,en,,,,,,politicians
cuomo,andrew,new york,,united states,america,en,,,,,,politicians
cooper,roy,north carolina,,united states,america,en,,,,,,politicians
burgum,douglas,north dakota,,united states,america,en,,,,,,politicians
dewine,michael,ohio,,united states,america,en,,,,,,politicians
stitt,kevin,oklahoma,,united states,america,en,,,,,,politicians
brown,katherine,oregon,,united states,america,en,,,,,,politicians
wolf,thomas,pennsylvania,,united states,america,en,,,,,,politicians
raimondo,gina,rhode island,,united states,america,en,,,,,,politicians
mcmaster,henry,south carolina,,united states,america,en,,,,,,politicians
noem,kristi,south dakota,,united states,america,en,,,,,,politicians
lee,bill,tennessee,,united states,america,en,,,,,,politicians
abbott,gregory,texas,,united states,america,en,,,,,,politicians
herbert,gary,utah,,united states,america,en,,,,,,politicians
scott,philip,vermont,,united states,america,en,,,,,,politicians
northam,ralph,virginia,,united states,america,en,,,,,,politicians
inslee,jay,washington,,united states,america,en,,,,,,politicians
justice,james,west virginia,,united states,america,en,,,,,,politicians
evers,tony,wisconsin,,united states,america,en,,,,,,politicians
gordon,mark,wyoming,,united states,america,en,,,,,,politicians
abraham,ralph,louisiana,,united states,america,en,,,,,,politicians
adams,alma,north carolina,,united states,america,en,,,,,,politicians
aderholt,robert,alabama,,united states,america,en,,,,,,politicians
aguilar,pete,california,,united states,america,en,,,,,,politicians
alexander,lamar,tennessee,,united states,america,en,,,,,,politicians
allen,rick,georgia,,united states,america,en,,,,,,politicians
allred,colin,texas,,united states,america,en,,,,,,politicians
amash,justin,michigan,,united states,america,en,,,,,,politicians
amodei,mark,nevada,,united states,america,en,,,,,,politicians
armstrong,kelly,north dakota,,united states,america,en,,,,,,politicians
arrington,jodey,texas,,united states,america,en,,,,,,politicians
axne,cynthia,iowa,,united states,america,en,,,,,,politicians
babin,brian,texas,,united states,america,en,,,,,,politicians
bacon,don,nebraska,,united states,america,en,,,,,,politicians
baird,james,indiana,,united states,america,en,,,,,,politicians
balderson,troy,ohio,,united states,america,en,,,,,,politicians
baldwin,tammy,wisconsin,,united states,america,en,,,,,,politicians
banks,jim,indiana,,united states,america,en,,,,,,politicians
barr,garland“andy”,kentucky,,united states,america,en,,,,,,politicians
barragán,nanette,california,,united states,america,en,,,,,,politicians
barrasso,john,wyoming,,united states,america,en,,,,,,politicians
bass,karen,california,,united states,america,en,,,,,,politicians
beatty,joyce,ohio,,united states,america,en,,,,,,politicians
bennet,michael,colorado,,united states,america,en,,,,,,politicians
bera,ami,california,,united states,america,en,,,,,,politicians
bergman,jack,michigan,,united states,america,en,,,,,,politicians
beyer,donald,virginia,,united states,america,en,,,,,,politicians
biggs,andy,arizona,,united states,america,en,,,,,,politicians
bilirakis,gus,florida,,united states,america,en,,,,,,politicians
bishop,dan,north carolina,,united states,america,en,,,,,,politicians
bishop,rob,utah,,united states,america,en,,,,,,politicians
bishop,sanford,georgia,,united states,america,en,,,,,,politicians
blackburn,marsha,tennessee,,united states,america,en,,,,,,politicians
blumenauer,earl,oregon,,united states,america,en,,,,,,politicians
blumenthal,richard,connecticut,,united states,america,en,,,,,,politicians
bluntrochester,lisa,delaware,,united states,america,en,,,,,,politicians
blunt,roy,missouri,,united states,america,en,,,,,,politicians
bonamici,suzanne,oregon,,united states,america,en,,,,,,politicians
booker,cory,new jersey,,united states,america,en,,,,,,politicians
boozman,john,arkansas,,united states,america,en,,,,,,politicians
bost,mike,illinois,,united states,america,en,,,,,,politicians
boyle,brendan,pennsylvania,,united states,america,en,,,,,,politicians
brady,kevin,texas,,united states,america,en,,,,,,politicians
braun,mike,indiana,,united states,america,en,,,,,,politicians
brindisi,anthony,new york,,united states,america,en,,,,,,politicians
brooks,mo,alabama,,united states,america,en,,,,,,politicians
brooks,susan,indiana,,united states,america,en,,,,,,politicians
brown,anthony,maryland,,united states,america,en,,,,,,politicians
brown,sherrod,ohio,,united states,america,en,,,,,,politicians
brownley,julia,california,,united states,america,en,,,,,,politicians
buchanan,vern,florida,,united states,america,en,,,,,,politicians
buck,ken,colorado,,united states,america,en,,,,,,politicians
bucshon,larry,indiana,,united states,america,en,,,,,,politicians
budd,ted,north carolina,,united states,america,en,,,,,,politicians
burchett,tim,tennessee,,united states,america,en,,,,,,politicians
burgess,michael,texas,,united states,america,en,,,,,,politicians
burr,richard,north carolina,,united states,america,en,,,,,,politicians
bustos,cheri,illinois,,united states,america,en,,,,,,politicians
butterfield,george“g.k.”,north carolina,,united states,america,en,,,,,,politicians
byrne,bradley,alabama,,united states,america,en,,,,,,politicians
calvert,ken,california,,united states,america,en,,,,,,politicians
cantwell,maria,washington,,united states,america,en,,,,,,politicians
capito,shelley,virginia,,united states,america,en,,,,,,politicians
carbajal,salud,california,,united states,america,en,,,,,,politicians
cardin,benjamin,maryland,,united states,america,en,,,,,,politicians
carper,thomas,delaware,,united states,america,en,,,,,,politicians
carson,andré,indiana,,united states,america,en,,,,,,politicians
carter,buddy,georgia,,united states,america,en,,,,,,politicians
carter,john,texas,,united states,america,en,,,,,,politicians
cartwright,matthew,pennsylvania,,united states,america,en,,,,,,politicians
case,ed,hawaii,,united states,america,en,,,,,,politicians
casey,robert“bob”,pennsylvania,,united states,america,en,,,,,,politicians
cassidy,bill,louisiana,,united states,america,en,,,,,,politicians
casten,sean,illinois,,united states,america,en,,,,,,politicians
castor,kathy,florida,,united states,america,en,,,,,,politicians
castro,joaquin,texas,,united states,america,en,,,,,,politicians
chabot,steve,ohio,,united states,america,en,,,,,,politicians
cheney,liz,wyoming,,united states,america,en,,,,,,politicians
chu,judy,california,,united states,america,en,,,,,,politicians
cicilline,david,rhode island,,united states,america,en,,,,,,politicians
cisneros,gilbert,california,,united states,america,en,,,,,,politicians
clark,katherine,massachusetts,,united states,america,en,,,,,,politicians
clarke,yvette,new york,,united states,america,en,,,,,,politicians
clay,lacy,missouri,,united states,america,en,,,,,,politicians
cleaver,emanuel,missouri,,united states,america,en,,,,,,politicians
cline,ben,virginia,,united states,america,en,,,,,,politicians
cloud,michael,texas,,united states,america,en,,,,,,politicians
clyburn,james“jim”,south carolina,,united states,america,en,,,,,,politicians
cohen,steve,tennessee,,united states,america,en,,,,,,politicians
cole,tom,oklahoma,,united states,america,en,,,,,,politicians
collins,doug,georgia,,united states,america,en,,,,,,politicians
collins,susan,maine,,united states,america,en,,,,,,politicians
comer,james,kentucky,,united states,america,en,,,,,,politicians
conaway,michael,texas,,united states,america,en,,,,,,politicians
connolly,gerald,virginia,,united states,america,en,,,,,,politicians
cook,paul,california,,united states,america,en,,,,,,politicians
coons,chris,delaware,,united states,america,en,,,,,,politicians
cooper,jim,tennessee,,united states,america,en,,,,,,politicians
cornyn,john,texas,,united states,america,en,,,,,,politicians
correa,luis,california,,united states,america,en,,,,,,politicians
cortezmasto,catherine,nevada,,united states,america,en,,,,,,politicians
costa,jim,california,,united states,america,en,,,,,,politicians
cotton,tom,arkansas,,united states,america,en,,,,,,politicians
courtney,joe,connecticut,,united states,america,en,,,,,,politicians
cox,tj,california,,united states,america,en,,,,,,politicians
craig,angie,minnesota,,united states,america,en,,,,,,politicians
cramer,kevin,north dakota,,united states,america,en,,,,,,politicians
crapo,michael,idaho,,united states,america,en,,,,,,politicians
crawford,eric“rick”,arkansas,,united states,america,en,,,,,,politicians
crenshaw,dan,texas,,united states,america,en,,,,,,politicians
crist,charlie,florida,,united states,america,en,,,,,,politicians
crow,jason,colorado,,united states,america,en,,,,,,politicians
cruz,ted,texas,,united states,america,en,,,,,,politicians
cuellar,henry,texas,,united states,america,en,,,,,,politicians
cunningham,joe,south carolina,,united states,america,en,,,,,,politicians
curtis,john,utah,,united states,america,en,,,,,,politicians
cárdenas,tony,california,,united states,america,en,,,,,,politicians
daines,steve,montana,,united states,america,en,,,,,,politicians
davids,sharice,kansas,,united states,america,en,,,,,,politicians
