Samuel L. Jones,Mobile,Alabama,http://www.cityofmobile.org/cityofficials/mayor.php
Omar Neal,Tuskegee,Alabama,http://www.tuskegeealabama.org/government/moremayor.aspx
Satish I. Hiremath,Oro Valley,Arizona,http://www.orovalleyaz.gov/Town_Government/Town_Council/Mayor-Satish-Hiremath.htm
Greg Stanton,Phoenix,Arizona,http://phoenix.gov/mayor/index.html#a4
Jennifer Eckstrom,South Tucson,Arizona,http://www.southtucson.org/government/city-council.html
Jonathan Rothschild,Tucson,Arizona,
Larry S. Bryant,Forrest City,Arkansas,http://www.forrestcity-ar.com/mayor.html
Arnell Willis,Helena,Arkansas,http://helenawesthelena.com/mayor-arnell-willis
Lawrence Owens,Hughes,Arkansas,http://hughesarkansas.org/Meet-the-Mayor.html
Patrick Hays,North Little Rock,Arkansas,http://www.northlr.org/welcome/mayor.asp
Carl A. Redus,Pine Bluff,Arkansas,"Jr,http://www.cityofpinebluff.com/mayor.htm"
McKinzie Riley,Wrightsville,Arkansas,
Marie Gilmore,Alameda,California,http://www.cityofalamedaca.gov/City-Hall/City-Council
Tom Bates,Berkeley,California,http://www.ci.berkeley.ca.us/mayor/
Cheryl Cox,Chula Vista,California,http://www.ci.chula-vista.ca.us/City_Services/Mayor_Council/Mayor/Default.asp
Eugene Montanez,Corona,California,http://www.discovercorona.com/City-Council/Elected-Officials/Eugene-Montanez.aspx
Jennifer West,Emeryville,California,http://www.emeryville.org/index.aspx?NID=770
Gus Morrison,Fremont,California,http://www.fremont.gov/index.aspx?NID=698
Maria Orozco,Gonzales,California,http://www.ci.gonzales.ca.us/city-government.php
James T. Butts Jr.,Inglewood,California,http://www.cityofinglewood.org/city_hall/mayor/default.asp
Sukhee Kang,Irvine,California,http://www.cityofirvine.org/council/bios/sukhee_kang.asp
Bob Foster,Long Beach,California,http://www.longbeach.gov/mayor/default.asp
Antonio Villaraigosa,Los Angeles,California,http://mayor.lacity.org/MeettheMayor/Biography/index.htm
Lou La Monte,Malibu,California,
Rob Schroder,Martinez,California,http://www.cityofmartinez.org/depts/mayor/default.asp
Paul Eaton,Montclair,California,http://www.cityofmontclair.org/depts/council/city_elected_officials.asp
R. Michael Kasperzak,Mountain View,California,http://www.ci.mtnview.ca.us/city_council/mayors_welcome.asp
Jean Quan,Oakland,California,http://www2.oaklandnet.com/Government/o/Mayor/index.htm
Stephen P. Pougnet,Palm Springs,California,http://www.ci.palm-springs.ca.us/index.aspx?page=33
Bill Bogaard,Pasadena,California,http://www.ci.pasadena.ca.us/mayor/
Luis I. Molina,Patterson,California,http://www.ci.patterson.ca.us/Default.aspx?pi=54&ni=75
David Glass,Petaluma,California,http://cityofpetaluma.net/cclerk/glass.htm
Jennifer Hosterman,Pleasanton,California,http://www.ci.pleasanton.ca.us/government/council/
