first_name,last_name,state
kirk,hinrich,atlanta
kwame,brown,charlotte
kobe,bryant,los angeles
kosta,koufos,denver
kurt,thomas,chicago
keyon,dooling,milwaukee
kyle,lowry,houston
kyle,weaver,utah
kyrylo,fesenko,utah
lamarcus,aldridge,portland
lamar,odom,los angeles
lance,stephenson,indiana
larry,sanders,milwaukee
kyle,korver,chicago
kevin,martin,houston
josh,smith,atlanta
kevin,garnett,boston
jon,brockman,milwaukee
lazar,hayward,minnesota
jonny,flynn,minnesota
jordan,hill,houston
jose,calderon,toronto
josh,childress,phoenix
kevin,love,minnesota
josh,powell,atlanta
jrue,holiday,philadelphia
julian,wright,toronto
juwan,howard,miami
keith,bogans,chicago
kendrick,perkins,oklahoma
kenyon,martin,denver
kevin,durant,oklahoma
josh,mcroberts,indiana
lebron,james,miami
leon,powe,memphis
mario,chalmers,miami
marquis,daniels,boston
marreese,speights,philadelphia
martell,webster,minnesota
marvin,williams,atlanta
matt,barnes,los angeles
matt,carroll,charlotte
maurice,ager,minnesota
mehmet,okur,utah
melvin,ely,denver
metta,world peace,los angeles
michael,beasley,minnesota
michael,redd,milwaukee
mickael,pietrus,phoenix
marcus,thornton,sacramento
marcus,cousin,utah
marcus,camby,portland
marcus,banks,toronto
linas,kleiza,toronto
lou,williams,philadelphia
luc,mbah a moute,milwaukee
luis,scola,houston
luke,babbitt,portland
luke,harangody,cleveland
leandro,barbosa,toronto
luke,ridnour,minnesota
luol,deng,chicago
luther,head,sacramento
malik,allen,orlando
manny,harris,cleveland
marc,gasol,memphis
marcin,gortat,phoenix
luke,walton,los angeles
john,salmons,milwaukee
gordon,hayward,utah
grant,hill,phoenix
greg,monroe,detroit
greivis,vasquez,memphis
hakim,warrick,phoenix
hamed,haddadi,memphis
hasheem,thabeet,houston
hassan,whiteside,sacramento
hedo,turkoglu,orlando
hilton,armstrong,atlanta
ian,mahinmi,dallas
ike,diogu,los angeles
ish,smith,memphis
j.j.,barea,dallas
jj,hickson,cleveland
goran,dragic,houston
glen,davis,boston
gilbert,arenas,orlando
gerald,wallace,portland
mike,bibby,miami
eric,bledsoe,los angeles
eric,gordon,los angeles
eric,maynor,oklahoma
erick,dampier,miami
ersan,ilyasova,milwaukee
etan,thomas,atlanta
evan,turner,philadelphia
jj,redick,orlando
fabricio,oberto,portland
francisco,garcia,sacramento
gani,lawal,phoenix
garret,siler,phoenix
garrett,temple,charlotte
gary,forbes,denver
gerald,henderson,charlotte
francisco,elson,utah
jr,smith,denver
jamaal,magloire,miami
jeff,foster,indiana
jeff,green,boston
jeff,teague,atlanta
jeremy,evans,utah
jermaine,o'neal,boston
jermaine,taylor,sacramento
jawad,williams,cleveland
jerry,stackhouse,miami
joakim,noah,chicago
jodie,meeks,philadelphia
joe,johnson,atlanta
joe,smith,los angeles
joel,anthony,miami
joel,przybilla,charlotte
joey,dorsey,toronto
joey,graham,cleveland
jerryd,bayless,toronto
john,lucas iii,chicago
jason,williams,memphis
jason,terry,dallas
jamal,crawford,atlanta
jamario,moon,los angeles
jameer,nelson,orlando
james,harden,oklahoma
james,johnson,toronto
james,jones,miami
james,posey,indiana
jason,thompson,sacramento
jared,dudley,phoenix
jarron,collins,portland
jason,collins,atlanta
jason,kapono,philadelphia
jason,kidd,dallas
jason,maxiell,detroit
jason,richardson,orlando
mike,conley,memphis
omri,casspi,sacramento
mike,harris,houston
daequan,cook,oklahoma
dahntay,jones,indiana
damien,wilkins,atlanta
daniel,gibson,cleveland
dajuan,summers,detroit
danilo,gallinari,denver
dante,cunningham,charlotte
darius,songaila,philadelphia
darko,milicic,minnesota
darnell,jackson,sacramento
darrell,arthur,memphis
danny,granger,indiana
darren,collison,indiana
dj,white,charlotte
d.j.,augustin,charlotte
chris,duhon,orlando
chris,johnson,portland
chris,kaman,los angeles
chris,wilcox,detroit
christian,eyenga,cleveland
cole,aldrich,oklahoma
corey,brewer,dallas
corey,maggette,milwaukee
courtney,lee,houston
craig,brackins,philadelphia
craig,smith,los angeles
chuck,hayes,houston
dominique,jones,dallas
donte,greene,sacramento
drew,gooden,milwaukee
dwight,howard,orlando
dwyane,wade,miami
dominic,mcguire,charlotte
earl,barron,portland
earl,clark,orlando
earl,watson,utah
ed,davis,toronto
eddie,house,miami
eduardo,najera,charlotte
earl,boykins,milwaukee
dirk,nowitzki,dallas
dexter,pittman,miami
devin,harris,utah
deandre,jordan,los angeles
demar,derozan,toronto
demarcus,cousins,sacramento
demarre,carroll,houston
desagana,diop,charlotte
deshawn,stevenson,dallas
delonte,west,boston
derek,fisher,los angeles
derrick,caracter,los angeles
derrick,favors,utah
derrick,rose,chicago
devin,ebanks,los angeles
chris,douglas-roberts,milwaukee
chris,bosh,miami
chris,andersen,denver
andres,nocioni,philadelphia
andrew,bogut,milwaukee
andrew,bynum,los angeles
antawn,jamison,cleveland
andrei,kirilenko,utah
anthony,parker,cleveland
anthony,randolph,minnesota
anthony,tolliver,minnesota
antoine,wright,sacramento
armon,johnson,portland
andrea,bargnani,toronto
andre,miller,portland
andre,iguodala,philadelphia
aj,price,indiana
aaron,brooks,phoenix
al,harrington,denver
al,horford,atlanta
al,jefferson,utah
al-farouq,aminu,los angeles
alexis,ajinca,toronto
alonzo,gee,cleveland
amir,johnson,toronto
anderson,varejao,cleveland
arron,afflalo,denver
elton,brand,philadelphia
austin,daye,detroit
baron,davis,cleveland
byron,mullens,oklahoma
c.j.,watson,chicago
cj,miles,utah
carlos,arroyo,boston
carlos,boozer,chicago
carlos,delfino,milwaukee
caron,butler,dallas
channing,frye,phoenix
charlie,villanueva,detroit
chase,budinger,houston
brian,skinner,milwaukee
brian,scalabrine,chicago
mike,dunleavy,indiana
ben,gordon,detroit
ben,wallace,detroit
beno,udrih,sacramento
blake,griffin,los angeles
boris,diaw,charlotte
brad,miller,houston
brandon,bass,orlando
brandon,jennings,milwaukee
brandon,roy,portland
brandon,rush,indiana
brendan,haywood,dallas
brian,cardinal,dallas
avery,bradley,boston
brian,cook,los angeles
antonio,daniels,philadelphia
theo,ratliff,los angeles
thaddeus,young,philadelphia
thabo,sefolosha,oklahoma
terrence,williams,houston
tayshaun,prince,detroit
taj,gibson,chicago
t.j.,ford,indiana
steve,nash,phoenix
steve,blake,los angeles
stephen,jackson,charlotte
spencer,hawes,philadelphia
sonny,weems,toronto
solomon,jones,indiana
solomon,alabi,toronto
sherron,collins,charlotte
shawn,marion,dallas
shaun,livingston,charlotte
shaquille,o'neal,boston
shannon,brown,los angeles
shane,battier,memphis
serge,ibaka,oklahoma
semih,erden,cleveland
sebastian,telfair,minnesota
sean,marks,portland
tony,allen,memphis
zach,randolph,memphis
zabian,dowdell,phoenix
yao,ming,houston
xavier,henry,memphis
wilson,chandler,denver
willie,warren,los angeles
will,bynum,detroit
wesley,matthews,portland
wesley,johnson,minnesota
wayne,ellington,minnesota
von,wafer,boston
vince,carter,phoenix
udonis,haslem,miami
tyson,chandler,dallas
tyrus,thomas,charlotte
tyreke,evans,sacramento
tyler,hansbrough,indiana
ty,lawson,denver
troy,murphy,boston
trey,johnson,los angeles
tracy,mcgrady,detroit
tony,battie,philadelphia
timofey,mozgov,denver
sasha,pavlovic,boston
samuel,dalembert,sacramento
quentin,richardson,orlando
pooh,jeter,sacramento
peja,stojakovic,dallas
paul,pierce,boston
paul,millsap,utah
paul,george,indiana
pau,gasol,los angeles
patty,mills,portland
patrick,patterson,houston
pape,sy,atlanta
omer,asik,chicago
o.j.,mayo,memphis
nikola,pekovic,minnesota
nicolas,batum,portland
nick,collison,oklahoma
nene,nan,denver
nenad,krstic,boston
nazr,mohammed,oklahoma
nate,robinson,oklahoma
morris,peterson,oklahoma
mo,williams,los angeles
mike,miller,miami
raja,bell,utah
rajon,rondo,boston
samardo,samuels,cleveland
sam,young,memphis
ryan,hollins,cleveland
ryan,gomes,los angeles
ryan,anderson,orlando
russell,westbrook,oklahoma
rudy,gay,memphis
rudy,fernandez,portland
royal,ivey,oklahoma
roy,hibbert,indiana
ronnie,price,utah
ronnie,brewer,chicago
ronald,dupree,toronto
zaza,pachulia,atlanta
rodney,stuckey,detroit
rodney,carney,memphis
robin,lopez,phoenix
richard,hamilton,detroit
reggie,evans,toronto
raymond,felton,denver
ray,allen,boston
rasual,butler,chicago
randy,foye,los angeles
ramon,sessions,cleveland
rodrigue,beaubois,dallas
zydrunas,ilgauskas,miami
zaza,pachulia,atlanta
eric,bledsoe,los angeles
enes,kanter,utah
elton,brand,philadelphia
elliot,williams,portland
ekpe,udoh,milwaukee
eduardo,najera,charlotte
eddy,curry,miami
ed,davis,toronto
earl,watson,utah
earl,clark,orlando
earl,boykins,houston
e'twaun,moore,boston
dwyane,wade,miami
dwight,howard,orlando
drew,gooden,milwaukee
donte,greene,sacramento
donald,sloan,cleveland
dominique,jones,dallas
dirk,nowitzki,dallas
zach,randolph,memphis
yi,jianlian,dallas
xavier,silas,philadelphia
travis,leslie,los angeles
travis,outlaw,sacramento
trey,thompkins,los angeles
tristan,thompson,cleveland
troy,murphy,los angeles
ty,lawson,denver
tyler,hansbrough,indiana
tyler,honeycutt,sacramento
tyreke,evans,sacramento
dexter,pittman,miami
tyrus,thomas,charlotte
udonis,haslem,miami
vernon,macklin,detroit
vince,carter,dallas
vladimir,radmanovic,atlanta
von,wafer,orlando
walker,russell,detroit
wayne,ellington,minnesota
wesley,johnson,minnesota
wesley,matthews,portland
will,bynum,detroit
willie,green,atlanta
wilson,chandler,denver
devin,harris,utah
devin,ebanks,los angeles
derrick,williams,minnesota
damien,wilkins,detroit
dahntay,jones,indiana
daequan,cook,oklahoma
dj,white,charlotte
d.j.,kennedy,cleveland
d.j.,augustin,charlotte
craig,smith,portland
craig,brackins,philadelphia
courtney,lee,houston
courtney,fortson,houston
corey,maggette,charlotte
corey,brewer,denver
cole,aldrich,oklahoma
chuck,hayes,sacramento
christian,eyenga,los angeles
chris,wilcox,boston
chris,paul,los angeles
chris,duhon,orlando
cory,higgins,charlotte
tracy,mcgrady,atlanta
daniel,gibson,cleveland
danilo,gallinari,denver
derrick,rose,chicago
derrick,favors,utah
derrick,brown,charlotte
derek,fisher,oklahoma
delonte,west,dallas
desagana,diop,charlotte
demarre,carroll,utah
demarcus,cousins,sacramento
daniel,orton,orlando
demar,derozan,toronto
deandre,liggins,orlando
deandre,jordan,los angeles
david,west,indiana
darren,collison,indiana
darko,milicic,minnesota
darius,morris,los angeles
darington,hobson,milwaukee
dante,cunningham,memphis
danny,granger,indiana
tony,battie,philadelphia
tony,allen,memphis
nick,collison,oklahoma
nick,young,los angeles
nicolas,batum,portland
nikola,pekovic,minnesota
nikola,vucevic,philadelphia
nolan,smith,portland
norris,cole,miami
o.j.,mayo,memphis
omer,asik,chicago
omri,casspi,cleveland
patrick,patterson,houston
pau,gasol,los angeles
paul,millsap,utah
paul,pierce,boston
quentin,richardson,orlando
quincy,pondexter,memphis
raja,bell,utah
rajon,rondo,boston
ramon,sessions,los angeles
chris,bosh,miami
randy,foye,los angeles
rasual,butler,toronto
ray,allen,boston
paul,george,indiana
raymond,felton,portland
nazr,mohammed,oklahoma
mychel,thompson,cleveland
mickael,pietrus,boston
michael,redd,phoenix
michael,beasley,minnesota
metta,world peace,los angeles
matt,carroll,charlotte
matt,barnes,los angeles
marvin,williams,atlanta
martell,webster,minnesota
francisco,elson,philadelphia
ersan,ilyasova,milwaukee
erick,dampier,atlanta
eric,maynor,oklahoma
mike,dunleavy,milwaukee
mike,james,chicago
mike,miller,miami
mo,williams,los angeles
monta,ellis,milwaukee
evan,turner,philadelphia
mike,conley,memphis
reggie,evans,los angeles
reggie,williams,charlotte
shaun,livingston,milwaukee
shawn,marion,dallas
solomon,alabi,toronto
spencer,hawes,philadelphia
steve,blake,los angeles
steve,nash,phoenix
shannon,brown,phoenix
taj,gibson,chicago
tayshaun,prince,detroit
terrel,harris,miami
terrence,williams,sacramento
thabo,sefolosha,oklahoma
thaddeus,young,philadelphia
timofey,mozgov,denver
tobias,harris,milwaukee
