first_name,last_name,state
Ivey,Kay,Alabama
Dunleavy,Mike,Alaska
Ducey,Douglas,Arizona
Hutchinson,Asa,Arkansas
Newsom,Gavin,California
Polis,Jared,Colorado
Lamont,Edward,Connecticut
Carney,John,Delaware
DeSantis,Ronald,Florida
Kemp,Brian,Georgia
Ige,David,Hawaii
Little,Brad,Idaho
Pritzker,J.B.,Illinois
Holcomb,Eric,Indiana
Reynolds,Kimberly,Iowa
Kelly,Laura,Kansas
Bevin,Matthew,Kentucky
Edwards,John,Louisiana
Mills,Janet,Maine
Hogan,Lawrence,Maryland
Baker,Charles,Massachusetts
Whitmer,Gretchen,Michigan
Walz,Tim,Minnesota
Bryant,Dewey,Mississippi
Parson,Michael,Missouri
Bullock,Stephen,Montana
Ricketts,John,Nebraska
Sisolak,Steve,Nevada
Sununu,Christopher,New Hampshire
Murphy,Philip,New Jersey
Lujan Grisham,Michelle,New Mexico
Cuomo,Andrew,New York
Cooper,Roy,North Carolina
Burgum,Douglas,North Dakota
DeWine,Michael,Ohio
Stitt,Kevin,Oklahoma
Brown,Katherine,Oregon
Wolf,Thomas,Pennsylvania
Raimondo,Gina,Rhode Island
McMaster,Henry,South Carolina
Noem,Kristi,South Dakota
Lee,Bill,Tennessee
Abbott,Gregory,Texas
Herbert,Gary,Utah
Scott,Philip,Vermont
Northam,Ralph,Virginia
Inslee,Jay,Washington
Justice,James,West Virginia
Evers,Tony,Wisconsin
Gordon,Mark,Wyoming
abraham,ralph,louisiana
adams,alma,north carolina
aderholt,robert,alabama
aguilar,pete,california
alexander,lamar,tennessee
allen,rick,georgia
allred,colin,texas
amash,justin,michigan
amodei,mark,nevada
armstrong,kelly,north dakota
arrington,jodey,texas
axne,cynthia,iowa
babin,brian,texas
bacon,don,nebraska
baird,james,indiana
balderson,troy,ohio
baldwin,tammy,wisconsin
banks,jim,indiana
barr,garland“andy”,kentucky
barragán,nanette,california
barrasso,john,wyoming
bass,karen,california
beatty,joyce,ohio
bennet,michael,colorado
bera,ami,california
bergman,jack,michigan
beyer,donald,virginia
biggs,andy,arizona
bilirakis,gus,florida
bishop,dan,north carolina
bishop,rob,utah
bishop,sanford,georgia
blackburn,marsha,tennessee
blumenauer,earl,oregon
blumenthal,richard,connecticut
bluntrochester,lisa,delaware
blunt,roy,missouri
bonamici,suzanne,oregon
booker,cory,new jersey
boozman,john,arkansas
bost,mike,illinois
boyle,brendan,pennsylvania
brady,kevin,texas
braun,mike,indiana
brindisi,anthony,new york
brooks,mo,alabama
brooks,susan,indiana
brown,anthony,maryland
brown,sherrod,ohio
brownley,julia,california
buchanan,vern,florida
buck,ken,colorado
bucshon,larry,indiana
budd,ted,north carolina
burchett,tim,tennessee
burgess,michael,texas
burr,richard,north carolina
bustos,cheri,illinois
butterfield,george“g.k.”,north carolina
byrne,bradley,alabama
calvert,ken,california
cantwell,maria,washington
capito,shelley,virginia
carbajal,salud,california
cardin,benjamin,maryland
carper,thomas,delaware
carson,andré,indiana
carter,buddy,georgia
carter,john,texas
cartwright,matthew,pennsylvania
case,ed,hawaii
casey,robert“bob”,pennsylvania
cassidy,bill,louisiana
casten,sean,illinois
castor,kathy,florida
castro,joaquin,texas
chabot,steve,ohio
cheney,liz,wyoming
chu,judy,california
cicilline,david,rhode island
cisneros,gilbert,california
clark,katherine,massachusetts
clarke,yvette,new york
clay,lacy,missouri
cleaver,emanuel,missouri
cline,ben,virginia
cloud,michael,texas
clyburn,james“jim”,south carolina
cohen,steve,tennessee
cole,tom,oklahoma
collins,doug,georgia
collins,susan,maine
comer,james,kentucky
conaway,michael,texas
connolly,gerald,virginia
cook,paul,california
coons,chris,delaware
cooper,jim,tennessee
cornyn,john,texas
correa,luis,california
cortezmasto,catherine,nevada
costa,jim,california
cotton,tom,arkansas
courtney,joe,connecticut
cox,tj,california
craig,angie,minnesota
cramer,kevin,north dakota
crapo,michael,idaho
crawford,eric“rick”,arkansas
crenshaw,dan,texas
crist,charlie,florida
crow,jason,colorado
cruz,ted,texas
cuellar,henry,texas
cunningham,joe,south carolina
curtis,john,utah
cárdenas,tony,california
daines,steve,montana
davids,sharice,kansas
davidson,warren,ohio
davis,danny,illinois
davis,rodney,illinois
davis,susan,california
defazio,peter,oregon
degette,diana,colorado
delauro,rosa,connecticut
desaulnier,mark,california
dean,madeleine,pennsylvania
delbene,suzan,washington
delgado,antonio,new york
demings,val,florida
desjarlais,scott,tennessee
deutch,theodore“ted”,florida
diaz-balart,mario,florida
dingell,debbie,michigan
doggett,lloyd,texas
doyle,michael“mike”,pennsylvania
duckworth,tammy,illinois
duncan,jeff,south carolina
dunn,neal,florida
durbin,richard,illinois
emmer,tom,minnesota
engel,eliot,new york
enzi,michael,wyoming
ernst,joni,iowa
escobar,veronica,texas
eshoo,anna,california
espaillat,adriano,new york
estes,ron,kansas
evans,dwight,pennsylvania
feinstein,dianne,california
ferguson,drew,georgia
finkenauer,abby,iowa
fischer,deb,nebraska
fitzpatrick,brian,pennsylvania
fleischmann,charles“chuck”,tennessee
fletcher,lizzie,texas
flores,bill,texas
fortenberry,jeff,nebraska
foster,bill,illinois
foxx,virginia,north carolina
frankel,lois,florida
fudge,marcia,ohio
fulcher,russ,idaho
gabbard,tulsi,hawaii
gaetz,matt,florida
gallagher,mike,wisconsin
gallego,ruben,arizona
garamendi,john,california
garcia,mike,california
garcia,sylvia,texas
garcía,jesús,illinois
gardner,cory,colorado
gianforte,greg,montana
gibbs,bob,ohio
gillibrand,kirsten,new york
gohmert,louie,texas
golden,jared,maine
gomez,jimmy,california
gonzalez,anthony,ohio
gonzalez,vicente,texas
gooden,lance,texas
gosar,paul,arizona
gottheimer,josh,new jersey
graham,lindsey,south carolina
granger,kay,texas
grassley,charles“chuck”,iowa
graves,garret,louisiana
graves,sam,missouri
graves,tom,georgia
green,al,texas
green,mark,tennessee
griffith,morgan,virginia
grijalva,raúl,arizona
grothman,glenn,wisconsin
guest,michael,mississippi
guthrie,brett,kentucky
haaland,debra,new mexico
hagedorn,jim,minnesota
harder,josh,california
harris,andy,maryland
harris,kamala,california
hartzler,vicky,missouri
hassan,margaret“maggie”,new hampshire
hastings,alcee,florida
hawley,joshua,missouri
hayes,jahana,connecticut
heck,denny,washington
heinrich,martin,new mexico
hern,kevin,oklahoma
herrerabeutler,jaime,washington
hice,jody,georgia
higgins,brian,new york
higgins,clay,louisiana
hill,french,arkansas
himes,james,connecticut
hirono,mazie,hawaii
hoeven,john,north dakota
holding,george,north carolina
hollingsworth,trey,indiana
horn,kendra,oklahoma
horsford,steven,nevada
houlahan,chrissy,pennsylvania
hoyer,steny,maryland
hudson,richard,north carolina
huffman,jared,california
huizenga,bill,michigan
hurd,will,texas
hyde-smith,cindy,mississippi
inhofe,james“jim”,oklahoma
jacksonlee,sheila,texas
jacobs,chris,new york
jayapal,pramila,washington
jeffries,hakeem,new york
johnson,bill,ohio
johnson,dusty,south dakota
johnson,eddie,texas
johnson,henry“hank”,georgia
johnson,mike,louisiana
johnson,ron,wisconsin
jones,doug,alabama
jordan,jim,ohio
